,0,1,2,3,4,5,6
0,431.769705311,369.889575749,0.0,0.0,0.0,299.442180063,448.469681823
1,0.0,365.739504639,217.566871745,431.769705311,0.0,269.59737847,396.120774773
2,0.0,74.8417988577,0.0,105.829285045,84.3525662969,60.5689553984,90.3582635737
3,0.0,40.3793035989,0.0,0.0,49.3193927883,40.3793035989,60.2388423824
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,164.643490828,0.0,88.1743736549,0.0,160.664183949,90.3582635737,164.643490828
7,0.0,0.0,73.9790891825,160.664183949,160.664183949,90.3582635737,164.643490828
8,0.0,0.0,20.1896517995,0.0,44.9328964117,30.1194211912,44.9328964117
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,90.3582635737,60.5689553984,134.798689235,110.363832351,0.0,110.363832351
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,144.746956433,97.0267864995,0.0,176.794331822,134.798689235,164.643490828
13,0.0,134.798689235,90.3582635737,0.0,164.643490828,110.363832351,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,40.3793035989,27.0670566473,40.3793035989
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,40.3793035989,0.0,0.0,40.3793035989,0.0,22.1606316725,33.0597776443
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,36.7879441171,30.1194211912,33.0597776444,36.7879441171,30.1194211912,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,20.1896517995,0.0,0.0,24.6596963942,20.1896517995,30.1194211912
27,0.0,0.0,0.0,0.0,20.1896517995,13.5335283237,20.1896517995
28,20.1896517995,0.0,0.0,20.1896517995,0.0,11.0803158362,16.5298888222
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,90.3582635737,0.0,49.5896664665,0.0,90.3582635737,0.0,90.3582635737
31,40.600584971,0.0,0.0,49.5896664665,40.600584971,0.0,40.600584971
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,40.3793035989,0.0,0.0,0.0,33.0597776443,49.3193927883
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,73.5758882343,60.2388423824,66.1195552886,73.5758882343,60.2388423824,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,40.600584971,0.0,60.5689553984,49.5896664665,0.0,49.5896664665
43,0.0,40.600584971,0.0,60.5689553984,49.5896664665,0.0,49.5896664665
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,134.798689235,90.3582635737,64.4299931518,0.0,125.839241711,0.0,125.839241711
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,30.1194211912,24.6596963942,27.0670566474,30.1194211912,0.0,0.0,0.0
