s,a,probability,reward,s_prime
0.0,0.0,1.0,0.0,1.0
0.0,1.0,0.2,327.492301231,528.0
0.0,1.0,0.2,163.746150616,177.0
0.0,1.0,0.1,81.8730753078,706.0
0.0,1.0,0.1,409.365376539,326.0
0.0,1.0,0.4,245.619225923,6.0
0.0,5.0,0.2,163.746150616,592.0
0.0,5.0,0.1,409.365376539,826.0
0.0,5.0,0.1,81.8730753078,1005.0
0.0,5.0,0.2,327.492301231,950.0
0.0,5.0,0.4,245.619225923,55.0
0.0,6.0,0.2,327.492301231,65.0
0.0,6.0,0.1,409.365376539,798.0
0.0,6.0,0.2,163.746150616,315.0
0.0,6.0,0.4,245.619225923,166.0
0.0,6.0,0.1,81.8730753078,150.0
1.0,1.0,0.1,409.365376539,445.0
1.0,1.0,0.2,163.746150616,215.0
1.0,1.0,0.2,327.492301231,663.0
1.0,1.0,0.1,81.8730753078,773.0
1.0,1.0,0.4,245.619225923,7.0
1.0,2.0,0.2,327.492301231,24.0
1.0,2.0,0.4,245.619225923,560.0
1.0,2.0,0.1,81.8730753078,2.0
1.0,2.0,0.1,409.365376539,27.0
1.0,2.0,0.2,163.746150616,422.0
1.0,3.0,0.2,163.746150616,732.0
1.0,3.0,0.1,409.365376539,1034.0
1.0,3.0,0.2,327.492301231,12.0
1.0,3.0,0.4,245.619225923,438.0
1.0,3.0,0.1,81.8730753078,687.0
1.0,5.0,0.2,327.492301231,136.0
1.0,5.0,0.1,409.365376539,769.0
1.0,5.0,0.2,163.746150616,10.0
1.0,5.0,0.1,81.8730753078,902.0
1.0,5.0,0.4,245.619225923,303.0
1.0,6.0,0.1,81.8730753078,233.0
1.0,6.0,0.2,163.746150616,475.0
1.0,6.0,0.2,327.492301231,84.0
1.0,6.0,0.4,245.619225923,69.0
1.0,6.0,0.1,409.365376539,807.0
2.0,1.0,1.0,0.0,478.0
2.0,3.0,0.2,134.064009207,80.0
2.0,3.0,0.4,201.096013811,35.0
2.0,3.0,0.2,268.128018414,3.0
2.0,3.0,0.1,268.128018414,99.0
2.0,3.0,0.1,67.0320046036,831.0
2.0,4.0,0.4,245.619225923,562.0
2.0,4.0,0.2,163.746150616,643.0
2.0,4.0,0.1,81.8730753078,1038.0
2.0,4.0,0.1,327.492301231,446.0
2.0,4.0,0.2,327.492301231,70.0
2.0,5.0,1.0,0.0,4.0
2.0,6.0,0.4,245.619225923,882.0
2.0,6.0,0.2,163.746150616,211.0
2.0,6.0,0.2,327.492301231,814.0
2.0,6.0,0.1,409.365376539,670.0
4.0,1.0,1.0,0.0,16.0
4.0,3.0,0.2,268.128018414,176.0
4.0,3.0,0.1,67.0320046036,941.0
4.0,3.0,0.1,335.160023018,346.0
4.0,3.0,0.2,134.064009207,117.0
4.0,3.0,0.4,201.096013811,87.0
4.0,4.0,0.1,335.160023018,34.0
4.0,4.0,0.1,67.0320046036,964.0
4.0,4.0,0.2,134.064009207,261.0
4.0,4.0,0.4,201.096013811,318.0
4.0,4.0,0.2,268.128018414,175.0
4.0,6.0,0.1,335.160023018,313.0
4.0,6.0,0.1,67.0320046036,354.0
4.0,6.0,0.4,201.096013811,595.0
4.0,6.0,0.2,268.128018414,5.0
4.0,6.0,0.2,134.064009207,71.0
6.0,0.0,1.0,0.0,7.0
6.0,2.0,1.0,0.0,76.0
6.0,4.0,0.2,163.746150616,72.0
6.0,4.0,0.1,163.746150616,524.0
6.0,4.0,0.4,163.746150616,156.0
6.0,4.0,0.2,163.746150616,21.0
6.0,4.0,0.1,81.8730753078,636.0
6.0,5.0,1.0,0.0,243.0
6.0,6.0,0.4,245.619225923,81.0
6.0,6.0,0.1,409.365376539,651.0
6.0,6.0,0.2,163.746150616,597.0
6.0,6.0,0.1,81.8730753078,307.0
6.0,6.0,0.2,327.492301231,781.0
7.0,2.0,1.0,0.0,133.0
7.0,3.0,0.1,134.064009207,8.0
7.0,3.0,0.2,134.064009207,324.0
7.0,3.0,0.1,67.0320046036,502.0
7.0,3.0,0.4,134.064009207,30.0
7.0,3.0,0.2,134.064009207,695.0
7.0,4.0,0.2,163.746150616,456.0
7.0,4.0,0.4,163.746150616,458.0
7.0,4.0,0.1,163.746150616,453.0
7.0,4.0,0.2,163.746150616,45.0
7.0,4.0,0.1,81.8730753078,589.0
7.0,5.0,1.0,0.0,306.0
7.0,6.0,0.1,81.8730753078,920.0
7.0,6.0,0.2,327.492301231,442.0
7.0,6.0,0.2,163.746150616,20.0
7.0,6.0,0.4,245.619225923,302.0
7.0,6.0,0.1,409.365376539,847.0
8.0,2.0,1.0,0.0,144.0
8.0,4.0,1.0,0.0,96.0
8.0,5.0,1.0,201.096013811,9.0
8.0,6.0,1.0,201.096013811,141.0
10.0,1.0,1.0,0.0,200.0
10.0,2.0,1.0,0.0,130.0
10.0,3.0,0.2,268.128018414,648.0
10.0,3.0,0.4,201.096013811,443.0
10.0,3.0,0.1,67.0320046036,11.0
10.0,3.0,0.1,335.160023018,405.0
10.0,3.0,0.2,134.064009207,765.0
10.0,4.0,0.2,245.619225923,193.0
10.0,4.0,0.1,81.8730753078,226.0
10.0,4.0,0.4,245.619225923,540.0
10.0,4.0,0.1,245.619225923,361.0
10.0,4.0,0.2,163.746150616,569.0
10.0,6.0,0.4,245.619225923,145.0
10.0,6.0,0.1,81.8730753078,41.0
10.0,6.0,0.2,245.619225923,105.0
10.0,6.0,0.1,245.619225923,801.0
10.0,6.0,0.2,163.746150616,23.0
12.0,1.0,0.1,67.0320046036,544.0
12.0,1.0,0.4,67.0320046036,345.0
12.0,1.0,0.2,67.0320046036,835.0
12.0,1.0,0.1,67.0320046036,695.0
12.0,1.0,0.2,67.0320046036,631.0
