,0,1,2,3,4,5,6
0,431.769705311,370.842945834,0.0,0.0,0.0,299.442180063,441.335130554
1,0.0,365.990193021,215.153047664,431.769705311,0.0,269.59737847,388.986223504
2,0.0,73.9790891825,0.0,99.9464155664,79.4388139795,60.5689553984,90.3582635737
3,0.0,40.3793035989,0.0,0.0,49.3193927883,40.3793035989,60.2388423824
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,164.643490828,0.0,87.4502982694,0.0,153.700396911,90.3582635737,164.643490828
7,0.0,0.0,73.9790891825,161.788318265,153.700396911,90.3582635737,164.643490828
8,0.0,0.0,20.1896517995,0.0,44.9328964117,30.1194211912,44.9328964117
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,90.3582635737,60.5689553984,134.798689235,110.363832351,0.0,110.363832351
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,153.700396911,103.028457133,0.0,187.730088717,134.798689235,164.643490828
13,0.0,134.798689235,90.3582635737,0.0,164.643490828,110.363832351,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,40.3793035989,27.0670566473,40.3793035989
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,40.3793035989,0.0,0.0,40.3793035989,0.0,22.1606316725,33.0597776443
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,73.5758882343,49.3193927883,0.0,0.0,73.5758882343,109.762327219
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,73.9790891825,0.0,109.696980059,89.812291094,60.5689553984,90.3582635737
28,0.0,0.0,0.0,73.532084723,73.532084723,40.600584971,73.9790891825
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,40.3793035989,0.0,89.8657928234,60.2388423824,89.8657928234
32,89.8657928234,0.0,40.3793035989,89.8657928234,0.0,49.3193927883,89.8657928234
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,40.600584971,0.0,60.5689553984,49.5896664665,0.0,49.5896664665
35,0.0,0.0,0.0,40.600584971,40.600584971,0.0,40.600584971
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,44.9328964117,0.0,20.1896517995,44.9328964117,0.0,24.6596963942,36.7879441171
39,20.1896517995,0.0,0.0,20.1896517995,0.0,11.0803158362,20.1896517995
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,134.798689235,0.0,60.5689553984,134.798689235,0.0,90.3582635737,134.798689235
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,73.916490695,65.0389999931,40.600584971,73.9790891825
50,0.0,0.0,0.0,0.0,20.1896517995,13.5335283237,20.1896517995
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,73.9790891825,0.0,107.696423181,88.1743736549,60.5689553984,90.3582635737
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,60.5689553984,0.0,0.0,60.5689553984,0.0,40.600584971,60.5689553984
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,40.3793035989,0.0,49.3193927883,0.0,33.0597776443,49.3193927883
59,0.0,40.3793035989,0.0,0.0,0.0,33.0597776443,49.3193927883
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,60.5689553984,0.0,73.9790891825,0.0,49.5896664665,73.9790891825
70,0.0,0.0,33.0597776443,0.0,0.0,49.3193927883,73.5758882343
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,60.5689553984,0.0,0.0,60.5689553984,0.0,40.600584971,60.5689553984
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,40.600584971,0.0,60.5689553984,49.5896664665,0.0,49.5896664665
76,0.0,0.0,0.0,40.600584971,40.600584971,0.0,40.600584971
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,40.600584971,90.3582635737,90.3582635737,0.0,90.3582635737
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,20.1896517995,0.0,0.0,20.1896517995,0.0,13.5335283237,20.1896517995
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,164.643490828,164.643490828,180.716527147,164.643490828,164.643490828,110.363832351,0.0
89,147.151776469,120.477684765,132.239110577,147.151776469,120.477684765,0.0,0.0
90,120.477684765,98.6387855766,108.268226589,120.477684765,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
