s,a,probability,reward,s_prime
0.0,0.0,1.0,0.0,1.0
0.0,1.0,1.0,0.0,140.0
1.0,1.0,1.0,0.0,2.0
1.0,2.0,1.0,0.0,192.0
1.0,3.0,1.0,0.0,468.0
2.0,8.0,1.0,0.0,3.0
2.0,2.0,1.0,0.0,29.0
2.0,3.0,1.0,0.0,141.0
2.0,7.0,1.0,0.0,18.0
3.0,9.0,0.2,27.0670566473,2392.0
3.0,9.0,0.4,40.600584971,1465.0
3.0,9.0,0.1,13.5335283237,1266.0
3.0,9.0,0.2,54.1341132946,316.0
3.0,9.0,0.1,67.6676416183,364.0
3.0,10.0,1.0,40.600584971,4.0
3.0,3.0,1.0,0.0,197.0
3.0,2.0,1.0,0.0,8.0
3.0,7.0,1.0,0.0,675.0
4.0,2.0,1.0,0.0,108.0
4.0,3.0,1.0,0.0,117.0
4.0,7.0,1.0,0.0,39.0
4.0,9.0,0.1,11.0803158362,3977.0
4.0,9.0,0.4,33.2409475087,2770.0
4.0,9.0,0.1,55.4015791812,67.0
4.0,9.0,0.2,44.3212633449,317.0
4.0,9.0,0.2,22.1606316725,2119.0
4.0,11.0,0.1,55.4015791812,4396.0
4.0,11.0,0.1,11.0803158362,3905.0
4.0,11.0,0.2,22.1606316725,3580.0
4.0,11.0,0.4,33.2409475087,2421.0
4.0,11.0,0.2,44.3212633449,4277.0
4.0,13.0,1.0,33.2409475087,38.0
4.0,14.0,1.0,0.0,5.0
5.0,2.0,1.0,0.0,375.0
5.0,3.0,1.0,0.0,134.0
5.0,7.0,1.0,0.0,6.0
5.0,9.0,0.2,36.2871813158,3313.0
5.0,9.0,0.4,27.2153859868,2826.0
5.0,9.0,0.1,9.07179532894,4386.0
5.0,9.0,0.2,18.1435906579,2493.0
5.0,9.0,0.1,45.3589766447,598.0
5.0,11.0,0.4,27.2153859868,3760.0
5.0,11.0,0.1,9.07179532894,1865.0
5.0,11.0,0.2,36.2871813158,1492.0
5.0,11.0,0.2,18.1435906579,3269.0
5.0,11.0,0.1,45.3589766447,4128.0
5.0,13.0,1.0,27.2153859868,152.0
6.0,11.0,0.2,8.15244079567,2051.0
6.0,11.0,0.2,16.3048815913,2168.0
6.0,11.0,0.4,12.2286611935,291.0
6.0,11.0,0.1,4.07622039784,3853.0
6.0,11.0,0.1,20.3811019892,3319.0
6.0,9.0,0.1,20.3811019892,3608.0
6.0,9.0,0.1,4.07622039784,3514.0
6.0,9.0,0.4,12.2286611935,1331.0
6.0,9.0,0.2,8.15244079567,1158.0
6.0,9.0,0.2,16.3048815913,7.0
6.0,2.0,1.0,0.0,81.0
6.0,3.0,1.0,0.0,40.0
6.0,13.0,1.0,12.2286611935,992.0
8.0,3.0,1.0,0.0,449.0
8.0,4.0,1.0,22.2820734643,30.0
8.0,5.0,0.2,14.8547156429,970.0
8.0,5.0,0.2,29.7094312857,679.0
8.0,5.0,0.1,37.1367891072,2078.0
8.0,5.0,0.4,22.2820734643,686.0
8.0,5.0,0.1,7.42735782143,3421.0
8.0,7.0,1.0,0.0,9.0
8.0,9.0,0.1,7.42735782143,2310.0
8.0,9.0,0.2,29.7094312857,1583.0
8.0,9.0,0.1,37.1367891072,1787.0
8.0,9.0,0.4,22.2820734643,94.0
8.0,9.0,0.2,14.8547156429,15.0
8.0,10.0,1.0,22.2820734643,108.0
9.0,3.0,1.0,0.0,10.0
9.0,4.0,1.0,10.0119809881,46.0
9.0,5.0,0.4,10.0119809881,737.0
9.0,5.0,0.2,13.3493079841,579.0
9.0,5.0,0.1,16.6866349802,1843.0
9.0,5.0,0.2,6.67465399207,428.0
9.0,5.0,0.1,3.33732699603,3143.0
9.0,9.0,0.2,13.3493079841,1232.0
9.0,9.0,0.1,3.33732699603,2264.0
9.0,9.0,0.1,16.6866349802,488.0
9.0,9.0,0.4,10.0119809881,676.0
9.0,9.0,0.2,6.67465399207,1252.0
9.0,10.0,1.0,10.0119809881,248.0
9.0,14.0,1.0,10.0119809881,78.0
10.0,9.0,0.1,2.73237224473,288.0
10.0,9.0,0.2,5.46474448946,11.0
10.0,9.0,0.4,8.19711673419,100.0
10.0,9.0,0.1,13.6618612236,459.0
10.0,9.0,0.2,10.9294889789,551.0
10.0,10.0,1.0,8.19711673419,92.0
10.0,4.0,1.0,8.19711673419,116.0
10.0,5.0,0.2,5.46474448946,35.0
10.0,5.0,0.4,8.19711673419,754.0
10.0,5.0,0.1,13.6618612236,171.0
10.0,5.0,0.1,2.73237224473,2420.0
10.0,5.0,0.2,10.9294889789,301.0
10.0,14.0,1.0,8.19711673419,20.0
11.0,4.0,1.0,0.0,320.0
11.0,5.0,1.0,0.0,12.0
11.0,10.0,1.0,6.71123155685,103.0
11.0,11.0,0.2,8.94830874247,392.0
11.0,11.0,0.4,6.71123155685,953.0
11.0,11.0,0.1,2.23707718562,1876.0
11.0,11.0,0.1,11.1853859281,1349.0
11.0,11.0,0.2,4.47415437123,230.0
11.0,13.0,1.0,6.71123155685,422.0
11.0,14.0,1.0,6.71123155685,178.0
12.0,10.0,1.0,5.49469166662,155.0
12.0,11.0,0.1,9.15781944437,1064.0
12.0,11.0,0.4,5.49469166662,17.0
12.0,11.0,0.1,1.83156388887,2690.0
12.0,11.0,0.2,7.32625555549,421.0
12.0,11.0,0.2,3.66312777775,1493.0
12.0,4.0,1.0,0.0,13.0
12.0,13.0,1.0,5.49469166662,66.0
12.0,14.0,1.0,5.49469166662,85.0
13.0,10.0,1.0,4.49867304614,14.0
13.0,11.0,0.2,5.99823072819,132.0
13.0,11.0,0.2,2.9991153641,666.0
13.0,11.0,0.1,1.49955768205,107.0
13.0,11.0,0.1,7.49778841024,188.0
13.0,11.0,0.4,4.49867304614,516.0
13.0,13.0,1.0,4.49867304614,341.0
13.0,14.0,1.0,4.49867304614,251.0
15.0,3.0,1.0,0.0,16.0
15.0,4.0,1.0,0.0,219.0
15.0,5.0,1.0,0.0,850.0
15.0,7.0,1.0,0.0,1252.0
15.0,10.0,1.0,18.2430187876,235.0
15.0,11.0,0.2,24.3240250501,2015.0
15.0,11.0,0.1,30.4050313126,2471.0
15.0,11.0,0.1,6.08100626252,3957.0
15.0,11.0,0.4,18.2430187876,126.0
15.0,11.0,0.2,12.162012525,567.0
15.0,13.0,1.0,18.2430187876,50.0
16.0,4.0,1.0,0.0,496.0
16.0,5.0,1.0,0.0,258.0
16.0,7.0,1.0,0.0,11.0
16.0,10.0,1.0,14.9361205104,452.0
16.0,11.0,0.1,24.8935341839,896.0
16.0,11.0,0.1,4.97870683679,217.0
16.0,11.0,0.2,9.95741367357,2891.0
16.0,11.0,0.4,14.9361205104,22.0
16.0,11.0,0.2,19.9148273471,583.0
