Unnamed: 0,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1,Qval
"(65, 3)",1,0.0,2,3.0,3,4.0,0.818730753078,0.818730753078,0.0,245.61922592299999
"(65, 4)",1,8.0,1,3.0,2,4.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(65, 5)",1,8.0,3,3.0,4,4.0,0.818730753078,0.818730753078,3.0,215.93708451500001
"(66, 0)",1,1.66666666667,1,2.0,5,5.0,0.818730753078,0.818730753078,0.0,134.064009207
"(66, 1)",1,1.66666666667,3,2.0,7,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(66, 2)",1,3.33333333333,3,2.0,7,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(66, 3)",1,3.33333333333,2,2.0,6,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(66, 4)",1,3.33333333333,1,2.0,5,5.0,0.818730753078,0.818730753078,0.0,134.064009207
"(67, 0)",1,1.66666666667,1,2.0,6,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(67, 1)",1,1.66666666667,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(67, 2)",1,3.33333333333,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(67, 3)",1,3.33333333333,2,2.0,7,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(69, 1)",1,8.5,3,3.0,5,3.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(69, 2)",1,8.5,3,3.0,5,3.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(69, 3)",1,2.5,2,3.0,4,3.0,0.818730753078,0.818730753078,0.0,245.61922592299999
"(69, 4)",1,11.0,1,3.0,3,3.0,0.818730753078,0.818730753078,3.0,245.61922592400001
"(69, 5)",1,11.0,3,3.0,5,3.0,0.818730753078,0.818730753078,3.0,229.29404814900002
"(74, 1)",1,10.0,3,1.0,10,5.0,0.818730753078,0.670320046036,0.0,54.881163609399998
"(74, 5)",1,5.0,3,1.0,10,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(74, 6)",1,5.0,1,1.0,8,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(76, 0)",1,0.0,1,3.0,7,3.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(76, 3)",1,21.0,2,3.0,8,3.0,0.670320046036,0.670320046036,3.0,201.09601381099998
"(76, 4)",1,21.0,1,3.0,7,3.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(76, 5)",1,0.0,3,3.0,9,3.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(76, 6)",1,21.0,1,3.0,7,3.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(77, 0)",1,20.0,1,2.0,9,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(77, 4)",1,20.0,1,2.0,9,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(77, 5)",1,10.0,3,2.0,11,5.0,0.670320046036,0.548811636094,0.0,109.762327219
"(77, 6)",1,10.0,1,2.0,9,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(82, 2)",1,20.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0,109.762327219
"(82, 5)",1,10.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0,134.064009207
"(82, 6)",1,10.0,1,2.0,8,5.0,0.670320046036,0.670320046036,0.0,134.064009207
"(84, 1)",1,5.5,3,3.0,5,4.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(84, 2)",1,5.5,3,3.0,5,4.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(84, 3)",1,2.5,2,3.0,4,4.0,0.818730753078,0.818730753078,0.0,245.61922592299999
"(84, 4)",1,8.0,1,3.0,3,4.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(84, 5)",1,8.0,3,3.0,5,4.0,0.818730753078,0.818730753078,3.0,215.93708451500001
"(91, 0)",1,20.0,1,2.0,10,5.0,0.670320046036,0.670320046036,0.0,109.762327219
"(91, 5)",1,10.0,3,2.0,12,5.0,0.670320046036,0.548811636094,0.0,109.762327219
"(91, 6)",1,10.0,1,2.0,10,5.0,0.670320046036,0.670320046036,0.0,134.064009207
"(93, 4)",1,10.0,1,1.0,10,5.0,0.818730753078,0.670320046036,0.0,54.881163609399998
"(93, 5)",1,5.0,3,1.0,12,5.0,0.818730753078,0.548811636094,0.0,54.881163609399998
"(93, 6)",1,5.0,1,1.0,10,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(96, 2)",1,30.0,3,3.0,10,5.0,0.670320046036,0.670320046036,0.0,164.64349082799998
"(96, 5)",1,15.0,3,3.0,10,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(96, 6)",1,15.0,1,3.0,8,5.0,0.670320046036,0.670320046036,0.0,201.09601381099998
"(97, 5)",1,15.0,3,3.0,13,5.0,0.670320046036,0.548811636094,0.0,164.64349082799998
"(97, 6)",1,15.0,1,3.0,11,5.0,0.818730753078,0.548811636094,0.0,164.64349082799998
"(99, 1)",1,10.0,3,1.0,9,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(99, 4)",1,10.0,1,1.0,7,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(99, 5)",1,5.0,3,1.0,9,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(99, 6)",1,5.0,1,1.0,7,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(103, 1)",1,5.0,3,2.0,9,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(103, 2)",1,5.0,3,2.0,9,5.0,0.670320046036,0.670320046036,0.0,134.064009207
"(103, 3)",1,5.0,2,2.0,8,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(105, 1)",1,2.5,3,1.0,8,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(105, 2)",1,2.5,3,1.0,8,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(105, 3)",1,2.5,2,1.0,7,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(105, 4)",1,5.0,1,1.0,6,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(107, 1)",1,30.0,3,3.0,7,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(107, 2)",1,30.0,3,3.0,7,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(107, 5)",1,15.0,3,3.0,7,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(107, 6)",1,15.0,1,3.0,5,5.0,0.818730753078,0.818730753078,0.0,245.61922592299999
"(109, 0)",1,20.0,1,2.0,7,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(109, 2)",1,20.0,3,2.0,9,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(109, 5)",1,10.0,3,2.0,9,5.0,0.670320046036,0.670320046036,0.0,134.064009207
"(109, 6)",1,10.0,1,2.0,7,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(113, 0)",1,20.0,1,2.0,8,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(113, 3)",1,20.0,2,2.0,9,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(113, 5)",1,10.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0,134.064009207
"(113, 6)",1,10.0,1,2.0,8,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(115, 1)",1,20.0,3,2.0,9,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(115, 4)",1,20.0,1,2.0,7,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(115, 5)",1,10.0,3,2.0,9,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(115, 6)",1,10.0,1,2.0,7,5.0,0.670320046036,0.670320046036,0.0,134.064009207
"(119, 1)",1,10.0,3,1.0,10,5.0,0.670320046036,0.670320046036,0.0,54.881163609399998
"(119, 5)",1,5.0,3,1.0,10,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(119, 6)",1,5.0,1,1.0,8,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(120, 0)",1,0.0,1,3.0,10,3.0,0.670320046036,0.670320046036,0.0,164.64349082799998
"(120, 3)",1,21.0,2,3.0,11,3.0,0.818730753078,0.548811636094,3.0,164.64349082799998
"(120, 4)",1,21.0,1,3.0,10,3.0,0.670320046036,0.670320046036,3.0,201.09601381099998
"(120, 6)",1,21.0,1,3.0,10,3.0,0.670320046036,0.670320046036,3.0,201.09601381099998
"(122, 5)",1,5.0,3,1.0,13,5.0,0.670320046036,0.548811636094,0.0,54.881163609399998
"(122, 6)",1,5.0,1,1.0,11,5.0,0.670320046036,0.548811636094,0.0,54.881163609399998
"(124, 4)",1,20.0,1,2.0,10,5.0,0.670320046036,0.670320046036,0.0,109.762327219
"(124, 5)",1,10.0,3,2.0,12,5.0,0.818730753078,0.548811636094,0.0,109.762327219
