s,a,probability,reward,s_prime
0.0,0.0,1.0,0.0,1.0
0.0,1.0,1.0,0.0,76.0
1.0,1.0,1.0,0.0,2.0
1.0,2.0,1.0,0.0,191.0
1.0,3.0,1.0,0.0,224.0
2.0,8.0,1.0,0.0,3.0
2.0,2.0,1.0,0.0,314.0
2.0,3.0,1.0,0.0,58.0
2.0,7.0,1.0,0.0,20.0
3.0,9.0,0.2,54.13411329464508,153.0
3.0,9.0,0.1,67.66764161830635,2911.0
3.0,9.0,0.4,40.60058497098381,939.0
3.0,9.0,0.2,27.06705664732254,476.0
3.0,9.0,0.1,13.53352832366127,3239.0
3.0,10.0,1.0,40.60058497098381,4.0
3.0,3.0,1.0,0.0,670.0
3.0,2.0,1.0,0.0,8.0
3.0,7.0,1.0,0.0,273.0
4.0,2.0,1.0,0.0,36.0
4.0,3.0,1.0,0.0,83.0
4.0,7.0,1.0,0.0,39.0
4.0,9.0,0.2,44.32126334493355,529.0
4.0,9.0,0.1,11.080315836233387,2687.0
4.0,9.0,0.2,22.160631672466774,67.0
4.0,9.0,0.4,33.24094750870016,629.0
4.0,9.0,0.1,55.40157918116694,235.0
4.0,11.0,0.1,55.40157918116694,4351.0
4.0,11.0,0.2,44.32126334493355,3107.0
4.0,11.0,0.4,33.24094750870016,3510.0
4.0,11.0,0.1,11.080315836233387,2846.0
4.0,11.0,0.2,22.160631672466774,2287.0
4.0,13.0,1.0,33.24094750870016,38.0
4.0,14.0,1.0,0.0,5.0
5.0,2.0,1.0,0.0,162.0
5.0,3.0,1.0,0.0,123.0
5.0,7.0,1.0,0.0,6.0
5.0,9.0,0.2,18.143590657882495,417.0
5.0,9.0,0.4,27.21538598682374,2283.0
5.0,9.0,0.1,9.071795328941247,4487.0
5.0,9.0,0.1,45.35897664470624,4333.0
5.0,9.0,0.2,36.28718131576499,3655.0
5.0,11.0,0.1,45.35897664470624,4160.0
5.0,11.0,0.1,9.071795328941247,4400.0
5.0,11.0,0.2,36.28718131576499,4187.0
5.0,11.0,0.4,27.21538598682374,3526.0
5.0,11.0,0.2,18.143590657882495,2983.0
5.0,13.0,1.0,27.21538598682374,353.0
6.0,11.0,0.2,8.152440795673241,2050.0
6.0,11.0,0.1,20.381101989183104,2667.0
6.0,11.0,0.4,12.228661193509861,812.0
6.0,11.0,0.1,4.076220397836621,2741.0
6.0,11.0,0.2,16.304881591346483,599.0
6.0,9.0,0.2,8.152440795673241,2095.0
6.0,9.0,0.1,4.076220397836621,1489.0
6.0,9.0,0.2,16.304881591346483,2448.0
6.0,9.0,0.1,20.381101989183104,923.0
6.0,9.0,0.4,12.228661193509861,7.0
6.0,2.0,1.0,0.0,136.0
6.0,3.0,1.0,0.0,40.0
6.0,13.0,1.0,12.228661193509861,133.0
8.0,3.0,1.0,0.0,302.0
8.0,4.0,1.0,22.28207346430016,431.0
8.0,5.0,0.4,22.28207346430016,202.0
8.0,5.0,0.1,37.13678910716694,3779.0
8.0,5.0,0.2,29.70943128573355,701.0
8.0,5.0,0.2,14.854715642866775,526.0
8.0,5.0,0.1,7.427357821433388,1954.0
8.0,7.0,1.0,0.0,9.0
8.0,9.0,0.1,7.427357821433388,3633.0
8.0,9.0,0.1,37.13678910716694,3674.0
8.0,9.0,0.2,29.70943128573355,2575.0
8.0,9.0,0.2,14.854715642866775,437.0
8.0,9.0,0.4,22.28207346430016,15.0
8.0,10.0,1.0,22.28207346430016,36.0
9.0,3.0,1.0,0.0,10.0
9.0,4.0,1.0,10.01198098809782,233.0
9.0,5.0,0.1,16.686634980163035,3408.0
9.0,5.0,0.4,10.01198098809782,33.0
9.0,5.0,0.2,13.349307984130427,563.0
9.0,5.0,0.1,3.3373269960326066,452.0
9.0,5.0,0.2,6.674653992065213,540.0
9.0,9.0,0.2,6.674653992065213,818.0
9.0,9.0,0.4,10.01198098809782,51.0
9.0,9.0,0.1,16.686634980163035,2260.0
9.0,9.0,0.2,13.349307984130427,1270.0
9.0,9.0,0.1,3.3373269960326066,3447.0
9.0,10.0,1.0,10.01198098809782,26.0
9.0,14.0,1.0,10.01198098809782,100.0
10.0,9.0,0.2,5.4647444894585115,267.0
10.0,9.0,0.4,8.197116734187768,17.0
10.0,9.0,0.2,10.929488978917023,11.0
10.0,9.0,0.1,2.7323722447292558,237.0
10.0,9.0,0.1,13.661861223646278,309.0
10.0,10.0,1.0,8.197116734187768,44.0
10.0,4.0,1.0,8.197116734187768,546.0
10.0,5.0,0.1,13.661861223646278,2718.0
10.0,5.0,0.1,2.7323722447292558,453.0
10.0,5.0,0.2,5.4647444894585115,541.0
10.0,5.0,0.4,8.197116734187768,254.0
10.0,5.0,0.2,10.929488978917023,47.0
10.0,14.0,1.0,8.197116734187768,22.0
11.0,4.0,1.0,0.0,825.0
11.0,5.0,1.0,0.0,12.0
11.0,10.0,1.0,6.711231556849677,115.0
11.0,11.0,0.1,11.185385928082797,2457.0
11.0,11.0,0.4,6.711231556849677,819.0
11.0,11.0,0.2,4.474154371233118,301.0
11.0,11.0,0.2,8.948308742466237,1110.0
11.0,11.0,0.1,2.237077185616559,182.0
11.0,13.0,1.0,6.711231556849677,690.0
11.0,14.0,1.0,6.711231556849677,25.0
12.0,10.0,1.0,5.494691666620254,868.0
12.0,11.0,0.1,1.8315638888734178,523.0
12.0,11.0,0.4,5.494691666620254,698.0
12.0,11.0,0.2,3.6631277777468356,19.0
12.0,11.0,0.2,7.326255555493671,429.0
12.0,11.0,0.1,9.157819444367089,2038.0
12.0,4.0,1.0,0.0,13.0
12.0,13.0,1.0,5.494691666620254,829.0
12.0,14.0,1.0,5.494691666620254,117.0
13.0,10.0,1.0,4.498673046143311,14.0
13.0,11.0,0.2,2.9991153640955406,209.0
13.0,11.0,0.4,4.498673046143311,186.0
13.0,11.0,0.1,1.4995576820477703,242.0
13.0,11.0,0.2,5.998230728191081,1086.0
13.0,11.0,0.1,7.497788410238852,909.0
13.0,13.0,1.0,4.498673046143311,954.0
13.0,14.0,1.0,4.498673046143311,427.0
15.0,3.0,1.0,0.0,16.0
15.0,4.0,1.0,0.0,487.0
15.0,5.0,1.0,0.0,111.0
15.0,7.0,1.0,0.0,51.0
15.0,10.0,1.0,18.243018787565383,190.0
15.0,11.0,0.1,30.405031312608976,2713.0
15.0,11.0,0.2,24.32402505008718,2155.0
15.0,11.0,0.2,12.16201252504359,755.0
15.0,11.0,0.4,18.243018787565383,438.0
15.0,11.0,0.1,6.081006262521795,1977.0
15.0,13.0,1.0,18.243018787565383,86.0
16.0,4.0,1.0,0.0,315.0
16.0,5.0,1.0,0.0,55.0
16.0,7.0,1.0,0.0,17.0
16.0,10.0,1.0,14.936120510359185,2202.0
16.0,11.0,0.4,14.936120510359185,512.0
16.0,11.0,0.1,24.893534183931973,746.0
16.0,11.0,0.1,4.978706836786395,2319.0
16.0,11.0,0.2,9.95741367357279,2506.0
16.0,11.0,0.2,19.91482734714558,1055.0
16.0,13.0,1.0,14.936120510359185,257.0
17.0,4.0,1.0,0.0,53.0
17.0,5.0,1.0,0.0,18.0
17.0,10.0,1.0,6.711231556849677,45.0
17.0,11.0,0.2,8.948308742466237,819.0
17.0,11.0,0.1,2.237077185616559,1622.0
17.0,11.0,0.1,11.185385928082797,1110.0
17.0,11.0,0.2,4.474154371233118,182.0
17.0,11.0,0.4,6.711231556849677,301.0
17.0,13.0,1.0,6.711231556849677,1344.0
17.0,14.0,1.0,6.711231556849677,62.0
18.0,10.0,1.0,5.494691666620254,289.0
18.0,11.0,0.2,3.6631277777468356,523.0
18.0,11.0,0.1,1.8315638888734178,90.0
18.0,11.0,0.4,5.494691666620254,19.0
18.0,11.0,0.1,9.157819444367089,429.0
18.0,11.0,0.2,7.326255555493671,698.0
18.0,4.0,1.0,0.0,56.0
18.0,13.0,1.0,5.494691666620254,24.0
18.0,14.0,1.0,5.494691666620254,88.0
2051.0,0.0,1.0,0.0,749.0
2051.0,2.0,1.0,0.0,2337.0
2051.0,4.0,1.0,0.0,2292.0
2051.0,7.0,1.0,0.0,1390.0
2051.0,10.0,1.0,49.58966646647596,2328.0
2051.0,11.0,0.4,49.58966646647596,3569.0
2051.0,11.0,0.2,66.11955528863461,3995.0
2051.0,11.0,0.2,33.05977764431731,2052.0
2051.0,11.0,0.1,16.529888822158654,4013.0
2051.0,11.0,0.1,82.64944411079327,3891.0
2051.0,13.0,1.0,49.58966646647596,2277.0
20.0,8.0,1.0,0.0,273.0
20.0,2.0,1.0,0.0,21.0
20.0,3.0,1.0,0.0,70.0
20.0,14.0,1.0,40.60058497098381,79.0
21.0,8.0,1.0,0.0,9.0
21.0,3.0,1.0,0.0,128.0
21.0,4.0,1.0,22.28207346430016,28.0
21.0,5.0,0.2,29.70943128573355,457.0
21.0,5.0,0.1,7.427357821433388,451.0
21.0,5.0,0.1,37.13678910716694,3123.0
21.0,5.0,0.2,14.854715642866775,2030.0
21.0,5.0,0.4,22.28207346430016,1423.0
21.0,14.0,1.0,22.28207346430016,68.0
22.0,4.0,1.0,6.711231556849677,23.0
22.0,5.0,0.2,4.474154371233118,416.0
22.0,5.0,0.2,8.948308742466237,552.0
22.0,5.0,0.1,11.185385928082797,522.0
22.0,5.0,0.4,6.711231556849677,485.0
22.0,5.0,0.1,2.237077185616559,166.0
22.0,9.0,0.2,8.948308742466237,25.0
22.0,9.0,0.2,4.474154371233118,378.0
22.0,9.0,0.1,11.185385928082797,310.0
22.0,9.0,0.4,6.711231556849677,62.0
22.0,9.0,0.1,2.237077185616559,581.0
22.0,10.0,1.0,0.0,49.0
22.0,11.0,0.2,4.474154371233118,3304.0
22.0,11.0,0.1,11.185385928082797,2025.0
22.0,11.0,0.4,6.711231556849677,2859.0
22.0,11.0,0.1,2.237077185616559,3357.0
22.0,11.0,0.2,8.948308742466237,1407.0
22.0,13.0,1.0,6.711231556849677,155.0
4119.0,1.0,1.0,0.0,3675.0
4119.0,3.0,1.0,0.0,840.0
4119.0,4.0,1.0,0.0,4069.0
4119.0,7.0,1.0,0.0,4189.0
4119.0,10.0,1.0,18.243018787565383,4174.0
4119.0,11.0,0.1,6.081006262521795,2721.0
4119.0,11.0,0.1,30.405031312608976,4258.0
4119.0,11.0,0.2,12.16201252504359,3214.0
4119.0,11.0,0.2,24.32402505008718,4253.0
4119.0,11.0,0.4,18.243018787565383,3654.0
4119.0,13.0,1.0,18.243018787565383,4161.0
4121.0,0.0,1.0,0.0,1970.0
4121.0,3.0,1.0,0.0,3783.0
4121.0,4.0,1.0,0.0,4072.0
4121.0,7.0,1.0,0.0,4091.0
4121.0,10.0,1.0,33.24094750870016,4129.0
4121.0,11.0,0.4,33.24094750870016,3792.0
4121.0,11.0,0.1,11.080315836233387,4448.0
4121.0,11.0,0.1,55.40157918116694,2698.0
4121.0,11.0,0.2,44.32126334493355,3110.0
4121.0,11.0,0.2,22.160631672466774,4030.0
4121.0,13.0,1.0,33.24094750870016,4264.0
26.0,3.0,1.0,0.0,44.0
26.0,4.0,1.0,8.197116734187768,800.0
26.0,5.0,0.1,13.661861223646278,3409.0
26.0,5.0,0.1,2.7323722447292558,730.0
26.0,5.0,0.2,5.4647444894585115,27.0
26.0,5.0,0.4,8.197116734187768,37.0
26.0,5.0,0.2,10.929488978917023,1077.0
26.0,9.0,0.2,5.4647444894585115,824.0
26.0,9.0,0.4,8.197116734187768,89.0
26.0,9.0,0.2,10.929488978917023,2011.0
26.0,9.0,0.1,2.7323722447292558,637.0
26.0,9.0,0.1,13.661861223646278,2790.0
26.0,11.0,0.1,13.661861223646278,249.0
26.0,11.0,0.2,10.929488978917023,2258.0
26.0,11.0,0.2,5.4647444894585115,4167.0
26.0,11.0,0.1,2.7323722447292558,3109.0
26.0,11.0,0.4,8.197116734187768,2545.0
26.0,13.0,1.0,8.197116734187768,42.0
26.0,14.0,1.0,0.0,136.0
2075.0,0.0,1.0,0.0,477.0
2075.0,2.0,1.0,0.0,2273.0
2075.0,4.0,1.0,0.0,2347.0
2075.0,5.0,1.0,0.0,2380.0
2075.0,7.0,1.0,0.0,996.0
2075.0,10.0,1.0,60.56895539839661,1219.0
2075.0,11.0,0.2,40.379303598931074,1256.0
2075.0,11.0,0.2,80.75860719786215,1513.0
2075.0,11.0,0.1,100.94825899732768,2499.0
2075.0,11.0,0.1,20.189651799465537,4489.0
2075.0,11.0,0.4,60.56895539839661,1809.0
2075.0,13.0,1.0,60.56895539839661,3269.0
28.0,3.0,1.0,0.0,363.0
28.0,5.0,1.0,0.0,29.0
28.0,8.0,1.0,0.0,233.0
28.0,9.0,1.0,0.0,147.0
28.0,11.0,0.1,30.405031312608976,4552.0
28.0,11.0,0.1,6.081006262521795,4508.0
28.0,11.0,0.4,18.243018787565383,3554.0
28.0,11.0,0.2,12.16201252504359,3908.0
28.0,11.0,0.2,24.32402505008718,3485.0
28.0,13.0,1.0,18.243018787565383,151.0
28.0,14.0,1.0,18.243018787565383,63.0
29.0,3.0,1.0,0.0,777.0
29.0,8.0,1.0,0.0,30.0
29.0,9.0,1.0,0.0,356.0
29.0,11.0,0.1,24.893534183931973,2729.0
29.0,11.0,0.2,9.95741367357279,1123.0
29.0,11.0,0.1,4.978706836786395,2180.0
29.0,11.0,0.2,19.91482734714558,902.0
29.0,11.0,0.4,14.936120510359185,695.0
29.0,13.0,1.0,14.936120510359185,165.0
29.0,14.0,1.0,14.936120510359185,833.0
30.0,3.0,1.0,0.0,74.0
30.0,9.0,1.0,0.0,31.0
30.0,10.0,1.0,6.711231556849677,883.0
30.0,11.0,0.1,11.185385928082797,3416.0
30.0,11.0,0.4,6.711231556849677,66.0
30.0,11.0,0.1,2.237077185616559,1675.0
30.0,11.0,0.2,8.948308742466237,2228.0
30.0,11.0,0.2,4.474154371233118,87.0
30.0,13.0,1.0,6.711231556849677,73.0
30.0,14.0,1.0,6.711231556849677,784.0
31.0,3.0,1.0,0.0,56.0
31.0,10.0,1.0,5.494691666620254,32.0
31.0,11.0,0.2,3.6631277777468356,1612.0
31.0,11.0,0.2,7.326255555493671,82.0
31.0,11.0,0.4,5.494691666620254,43.0
31.0,11.0,0.1,1.8315638888734178,292.0
31.0,11.0,0.1,9.157819444367089,418.0
31.0,13.0,1.0,5.494691666620254,172.0
31.0,14.0,1.0,5.494691666620254,204.0
33.0,3.0,1.0,0.0,254.0
33.0,4.0,1.0,0.0,30.0
33.0,9.0,1.0,0.0,34.0
33.0,10.0,1.0,8.197116734187768,37.0
33.0,11.0,0.2,10.929488978917023,210.0
33.0,11.0,0.1,13.661861223646278,1315.0
33.0,11.0,0.1,2.7323722447292558,1734.0
33.0,11.0,0.2,5.4647444894585115,782.0
33.0,11.0,0.4,8.197116734187768,287.0
33.0,13.0,1.0,8.197116734187768,1010.0
33.0,14.0,1.0,8.197116734187768,739.0
34.0,3.0,1.0,0.0,18.0
34.0,4.0,1.0,0.0,31.0
34.0,10.0,1.0,6.711231556849677,35.0
34.0,11.0,0.1,2.237077185616559,2895.0
34.0,11.0,0.2,8.948308742466237,2647.0
34.0,11.0,0.2,4.474154371233118,1182.0
34.0,11.0,0.4,6.711231556849677,1630.0
34.0,11.0,0.1,11.185385928082797,2629.0
34.0,13.0,1.0,6.711231556849677,1848.0
34.0,14.0,1.0,6.711231556849677,430.0
36.0,3.0,1.0,0.0,84.0
36.0,4.0,1.0,18.243018787565383,187.0
36.0,5.0,0.4,18.243018787565383,864.0
36.0,5.0,0.1,6.081006262521795,185.0
36.0,5.0,0.2,24.32402505008718,299.0
36.0,5.0,0.1,30.405031312608976,1963.0
36.0,5.0,0.2,12.16201252504359,527.0
36.0,7.0,1.0,0.0,26.0
36.0,9.0,0.2,24.32402505008718,3361.0
36.0,9.0,0.1,6.081006262521795,3724.0
36.0,9.0,0.1,30.405031312608976,3715.0
36.0,9.0,0.2,12.16201252504359,1308.0
36.0,9.0,0.4,18.243018787565383,190.0
36.0,11.0,0.1,30.405031312608976,4263.0
36.0,11.0,0.2,24.32402505008718,3564.0
36.0,11.0,0.1,6.081006262521795,3925.0
36.0,11.0,0.2,12.16201252504359,1830.0
36.0,11.0,0.4,18.243018787565383,2423.0
36.0,13.0,1.0,18.243018787565383,1988.0
36.0,14.0,1.0,0.0,162.0
39.0,2.0,1.0,0.0,26.0
39.0,3.0,1.0,0.0,246.0
39.0,9.0,0.1,24.893534183931973,1745.0
39.0,9.0,0.4,14.936120510359185,515.0
39.0,9.0,0.2,9.95741367357279,2573.0
39.0,9.0,0.2,19.91482734714558,979.0
39.0,9.0,0.1,4.978706836786395,3487.0
39.0,11.0,0.4,14.936120510359185,952.0
39.0,11.0,0.1,24.893534183931973,2619.0
39.0,11.0,0.2,9.95741367357279,2059.0
39.0,11.0,0.2,19.91482734714558,4260.0
39.0,11.0,0.1,4.978706836786395,4470.0
39.0,13.0,1.0,14.936120510359185,710.0
39.0,14.0,1.0,0.0,6.0
40.0,9.0,0.1,3.3373269960326066,2336.0
40.0,9.0,0.2,6.674653992065213,81.0
40.0,9.0,0.1,16.686634980163035,1771.0
40.0,9.0,0.4,10.01198098809782,517.0
40.0,9.0,0.2,13.349307984130427,313.0
40.0,2.0,1.0,0.0,49.0
40.0,11.0,0.2,6.674653992065213,41.0
40.0,11.0,0.2,13.349307984130427,1003.0
40.0,11.0,0.1,16.686634980163035,1175.0
40.0,11.0,0.1,3.3373269960326066,545.0
40.0,11.0,0.4,10.01198098809782,65.0
40.0,13.0,1.0,10.01198098809782,46.0
2090.0,3.0,1.0,0.0,1120.0
2090.0,7.0,1.0,0.0,1753.0
2090.0,8.0,1.0,0.0,1136.0
2090.0,10.0,1.0,27.21538598682374,2767.0
2090.0,11.0,0.1,45.35897664470624,4096.0
2090.0,11.0,0.2,36.28718131576499,1345.0
2090.0,11.0,0.1,9.071795328941247,2218.0
2090.0,11.0,0.2,18.143590657882495,2085.0
2090.0,11.0,0.4,27.21538598682374,3234.0
2090.0,13.0,1.0,27.21538598682374,2562.0
44.0,4.0,1.0,6.711231556849677,391.0
44.0,5.0,0.1,2.237077185616559,1680.0
44.0,5.0,0.2,8.948308742466237,48.0
44.0,5.0,0.1,11.185385928082797,1091.0
44.0,5.0,0.2,4.474154371233118,693.0
44.0,5.0,0.4,6.711231556849677,183.0
44.0,9.0,0.1,2.237077185616559,787.0
44.0,9.0,0.1,11.185385928082797,538.0
44.0,9.0,0.2,8.948308742466237,115.0
44.0,9.0,0.4,6.711231556849677,45.0
44.0,9.0,0.2,4.474154371233118,422.0
44.0,11.0,0.2,8.948308742466237,3577.0
44.0,11.0,0.2,4.474154371233118,922.0
44.0,11.0,0.4,6.711231556849677,971.0
44.0,11.0,0.1,11.185385928082797,3852.0
44.0,11.0,0.1,2.237077185616559,4195.0
44.0,13.0,1.0,6.711231556849677,157.0
44.0,14.0,1.0,0.0,49.0
4142.0,0.0,1.0,0.0,305.0
4142.0,7.0,1.0,0.0,1128.0
4142.0,9.0,1.0,0.0,1877.0
4142.0,10.0,1.0,27.21538598682374,4321.0
4142.0,11.0,0.1,9.071795328941247,4176.0
4142.0,11.0,0.1,45.35897664470624,4064.0
4142.0,11.0,0.4,27.21538598682374,4218.0
4142.0,11.0,0.2,18.143590657882495,4098.0
4142.0,11.0,0.2,36.28718131576499,4110.0
4142.0,13.0,1.0,27.21538598682374,4173.0
47.0,4.0,1.0,0.0,1162.0
47.0,9.0,1.0,0.0,12.0
47.0,10.0,1.0,6.711231556849677,48.0
47.0,11.0,0.1,11.185385928082797,898.0
47.0,11.0,0.1,2.237077185616559,757.0
47.0,11.0,0.2,8.948308742466237,308.0
47.0,11.0,0.4,6.711231556849677,2946.0
47.0,11.0,0.2,4.474154371233118,2159.0
47.0,13.0,1.0,6.711231556849677,1389.0
47.0,14.0,1.0,6.711231556849677,552.0
49.0,9.0,0.1,9.157819444367089,3133.0
49.0,9.0,0.1,1.8315638888734178,1346.0
49.0,9.0,0.4,5.494691666620254,491.0
49.0,9.0,0.2,3.6631277777468356,821.0
49.0,9.0,0.2,7.326255555493671,1509.0
49.0,11.0,0.1,1.8315638888734178,1508.0
49.0,11.0,0.2,3.6631277777468356,50.0
49.0,11.0,0.2,7.326255555493671,508.0
49.0,11.0,0.1,9.157819444367089,2069.0
49.0,11.0,0.4,5.494691666620254,214.0
49.0,4.0,1.0,5.494691666620254,263.0
49.0,5.0,0.2,3.6631277777468356,1304.0
49.0,5.0,0.1,9.157819444367089,801.0
49.0,5.0,0.1,1.8315638888734178,658.0
