Unnamed: 0,q_val
"(0, 0)",431.769705311
"(0, 1)",372.08482229300006
"(0, 5)",299.44218006299997
"(0, 6)",439.13988400900001
"(1, 1)",366.48694360500002
"(1, 2)",213.34133948299998
"(1, 3)",431.769705311
"(1, 5)",269.59737847000002
"(1, 6)",386.79097695900003
"(2, 1)",73.979089182500005
"(2, 3)",109.696980059
"(2, 4)",89.812291094000003
"(2, 5)",60.5689553984
"(2, 6)",90.358263573700015
"(4, 1)",40.600584970999996
"(4, 3)",60.5689553984
"(4, 4)",49.589666466499999
"(4, 6)",49.589666466499999
"(6, 0)",172.11788049
"(6, 2)",94.891363457500006
"(6, 4)",215.677902776
"(6, 5)",180.71652714699999
"(6, 6)",228.096667371
"(7, 2)",94.891363457500006
"(7, 3)",172.11788049
"(7, 4)",134.79868923500001
"(7, 5)",90.358263573700015
"(7, 6)",164.64349082799998
"(8, 2)",40.379303598900002
"(8, 4)",89.8657928234
"(8, 5)",60.238842382399994
"(8, 6)",89.8657928234
"(10, 1)",90.358263573700015
"(10, 2)",60.5689553984
"(10, 3)",134.79868923500001
"(10, 4)",110.363832351
"(10, 6)",110.363832351
"(12, 1)",134.79868923500001
"(12, 2)",90.358263573700015
"(12, 4)",164.64349082799998
"(12, 5)",134.79868923500001
"(12, 6)",164.64349082799998
"(13, 1)",134.79868923500001
"(13, 2)",90.358263573700015
"(13, 4)",164.64349082799998
"(13, 5)",110.363832351
"(16, 3)",40.600584970999996
"(16, 4)",40.600584970999996
"(16, 6)",40.600584970999996
"(21, 0)",44.9328964117
"(21, 2)",20.189651799500002
"(21, 3)",44.9328964117
"(21, 5)",24.659696394200001
"(21, 6)",36.787944117100004
"(24, 3)",73.532084722999997
"(24, 4)",73.532084722999997
"(24, 5)",40.600584970999996
"(24, 6)",73.979089182500005
"(26, 1)",73.979089182500005
"(26, 3)",107.696423181
"(26, 4)",88.174373654899995
"(26, 5)",60.5689553984
"(26, 6)",90.358263573700015
"(27, 1)",40.600584970999996
"(27, 3)",60.5689553984
"(27, 4)",49.589666466499999
"(27, 6)",49.589666466499999
"(29, 0)",89.8657928234
"(29, 2)",40.379303598900002
"(29, 3)",89.8657928234
"(29, 5)",49.3193927883
"(29, 6)",73.57588823430001
"(35, 3)",40.600584970999996
"(35, 4)",40.600584970999996
"(35, 6)",40.600584970999996
"(37, 2)",20.189651799500002
"(37, 4)",44.9328964117
"(37, 5)",30.119421191199997
"(37, 6)",44.9328964117
"(38, 4)",20.189651799500002
"(38, 5)",13.533528323699999
"(38, 6)",20.189651799500002
"(41, 0)",20.189651799500002
"(41, 3)",20.189651799500002
"(41, 5)",11.080315836199999
"(41, 6)",16.5298888222
"(45, 0)",36.787944117100004
"(45, 1)",30.119421191199997
"(45, 2)",33.0597776444
"(45, 3)",36.787944117100004
"(45, 6)",30.119421191199997
"(47, 1)",73.979089182500005
"(47, 3)",103.481767121
"(47, 4)",84.352566296899994
"(47, 5)",60.5689553984
"(47, 6)",90.358263573700015
"(50, 2)",40.600584970999996
"(50, 3)",90.358263573700015
"(50, 4)",90.358263573700015
"(50, 6)",90.358263573700015
"(51, 3)",40.600584970999996
"(51, 4)",40.600584970999996
"(51, 6)",40.600584970999996
"(54, 1)",40.379303598900002
"(54, 4)",49.3193927883
"(54, 5)",40.379303598900002
"(54, 6)",60.238842382399994
"(57, 1)",20.189651799500002
"(57, 4)",24.659696394200001
"(57, 5)",20.189651799500002
"(57, 6)",30.119421191199997
"(59, 0)",40.379303598900002
"(59, 3)",40.379303598900002
"(59, 5)",22.160631672499999
"(59, 6)",33.059777644299999
"(62, 0)",180.71652714699999
"(62, 1)",164.64349082799998
"(62, 3)",180.71652714699999
"(62, 4)",187.730088717
"(62, 5)",125.839241711
"(65, 0)",164.64349082799998
"(65, 1)",164.64349082799998
"(65, 2)",180.71652714699999
"(65, 3)",164.64349082799998
"(65, 4)",164.64349082799998
"(65, 5)",110.363832351
"(66, 0)",36.787944117100004
"(66, 1)",30.119421191199997
"(66, 2)",33.0597776444
"(66, 3)",36.787944117100004
"(66, 4)",30.119421191199997
"(71, 1)",40.379303598900002
"(71, 5)",33.059777644299999
"(71, 6)",49.3193927883
"(73, 1)",40.600584970999996
"(73, 3)",60.5689553984
"(73, 4)",49.589666466499999
"(73, 6)",49.589666466499999
"(74, 3)",40.600584970999996
"(74, 4)",40.600584970999996
"(74, 6)",40.600584970999996
"(77, 0)",73.57588823430001
"(77, 1)",60.238842382399994
"(77, 2)",66.119555288599997
"(77, 3)",73.57588823430001
"(77, 6)",60.238842382399994
"(79, 4)",40.379303598900002
"(79, 5)",27.067056647299999
"(79, 6)",40.379303598900002
"(81, 2)",20.189651799500002
"(81, 4)",36.787944117100004
"(81, 5)",30.119421191199997
"(81, 6)",44.9328964117
"(82, 2)",16.5298888222
"(82, 5)",24.659696394200001
"(82, 6)",36.787944117100004
"(87, 5)",11.080315836199999
"(87, 6)",16.5298888222
"(88, 0)",164.64349082799998
"(88, 1)",164.64349082799998
"(88, 2)",180.71652714699999
"(88, 3)",164.64349082799998
"(88, 4)",164.64349082799998
"(88, 5)",110.363832351
"(95, 0)",30.119421191199997
"(95, 1)",24.659696394200001
"(95, 2)",27.067056647399998
"(95, 3)",30.119421191199997
"(100, 1)",20.189651799500002
"(100, 5)",16.5298888222
"(100, 6)",24.659696394200001
"(102, 0)",54.881163609399998
"(102, 1)",44.9328964117
"(102, 2)",49.319392788400002
"(102, 3)",54.881163609399998
"(102, 5)",30.119421191199997
"(103, 0)",30.119421191199997
"(103, 1)",24.659696394200001
"(103, 2)",27.067056647399998
"(103, 3)",30.119421191199997
"(105, 0)",180.71652714699999
"(105, 1)",164.64349082799998
"(105, 3)",180.71652714699999
"(105, 4)",176.794331822
"(105, 5)",118.50878464600001
"(106, 0)",94.891363457500006
"(106, 3)",74.297918621999997
"(106, 4)",60.5689553984
"(106, 5)",90.190251437499995
"(106, 6)",73.979089182500005
"(108, 0)",54.881163609399998
"(108, 1)",44.9328964117
"(108, 2)",24.659696394200001
"(108, 3)",54.881163609399998
"(108, 5)",30.119421191199997
"(113, 0)",109.762327219
"(113, 1)",89.8657928234
"(113, 2)",49.3193927883
"(113, 3)",109.762327219
"(113, 5)",60.238842382399994
"(117, 0)",73.57588823430001
"(117, 1)",60.238842382399994
"(117, 2)",33.059777644299999
"(117, 3)",73.57588823430001
"(117, 4)",60.238842382399994
"(118, 0)",60.238842382399994
"(118, 1)",49.3193927883
"(118, 2)",27.067056647299999
"(118, 3)",60.238842382399994
"(119, 0)",60.238842382399994
"(119, 1)",49.3193927883
"(119, 2)",54.134113294599999
"(119, 3)",60.238842382399994
"(120, 0)",27.067056647299999
"(120, 1)",22.160631672499999
"(124, 0)",73.57588823430001
"(124, 1)",60.238842382399994
"(124, 2)",66.119555288599997
"(124, 3)",73.57588823430001
"(124, 4)",60.238842382399994
"(126, 0)",44.9328964117
"(126, 2)",20.189651799500002
"(126, 3)",44.9328964117
"(126, 5)",30.119421191199997
"(126, 6)",44.9328964117
"(135, 0)",224.66448205900002
"(135, 2)",100.94825899700001
"(135, 3)",224.66448205900002
"(135, 5)",123.298481971
"(135, 6)",183.93972058599999
"(138, 1)",94.891363457500006
"(138, 3)",92.171503527199988
"(138, 4)",73.979089182500005
"(138, 5)",60.5689553984
"(138, 6)",90.358263573700015
"(139, 1)",60.5689553984
"(139, 3)",73.979089182500005
"(139, 5)",49.589666466499999
"(139, 6)",73.979089182500005
"(141, 0)",179.731585647
"(141, 2)",80.758607197900005
"(141, 3)",179.731585647
"(141, 5)",98.6387855766
"(141, 6)",147.151776469
"(144, 0)",16.5298888222
"(144, 1)",13.533528323699999
"(144, 4)",13.533528323699999
"(145, 0)",13.533528323699999
"(145, 1)",11.080315836199999
"(148, 0)",24.659696394200001
"(148, 1)",20.189651799500002
"(148, 3)",24.659696394200001
"(148, 5)",13.533528323699999
"(149, 0)",24.659696394200001
"(149, 1)",20.189651799500002
"(149, 5)",13.533528323699999
"(151, 0)",94.891363457500006
"(151, 3)",70.014150695400005
"(151, 4)",94.891363457500006
"(151, 5)",90.190251437499995
"(151, 6)",80.296712513700001
"(152, 0)",80.758607197900005
"(152, 4)",80.758607197900005
"(152, 5)",66.119555288599997
"(152, 6)",98.6387855766
"(153, 0)",80.758607197900005
"(153, 3)",80.758607197900005
"(153, 5)",54.134113294599999
"(153, 6)",80.758607197900005
"(155, 1)",60.5689553984
"(155, 4)",73.979089182500005
"(155, 5)",60.5689553984
"(155, 6)",90.358263573700015
"(157, 0)",30.119421191199997
"(157, 1)",24.659696394200001
"(157, 2)",13.533528323699999
"(157, 3)",30.119421191199997
"(158, 0)",90.358263573700015
"(158, 2)",49.589666466499999
"(158, 4)",90.358263573700015
"(158, 6)",90.358263573700015
"(162, 1)",134.79868923500001
"(162, 2)",90.358263573700015
"(162, 4)",164.64349082799998
"(162, 5)",110.363832351
"(164, 1)",90.358263573700015
"(164, 2)",60.5689553984
"(164, 3)",134.79868923500001
"(164, 4)",110.363832351
"(164, 6)",110.363832351
"(165, 2)",40.600584970999996
"(165, 3)",90.358263573700015
"(165, 4)",90.358263573700015
"(165, 6)",90.358263573700015
"(169, 0)",100.94825899700001
"(169, 3)",100.94825899700001
"(169, 5)",55.401579181199999
"(169, 6)",82.649444110800005
"(177, 2)",40.600584970999996
"(177, 3)",90.358263573700015
"(177, 4)",90.358263573700015
"(177, 6)",90.358263573700015
"(180, 0)",40.600584970999996
"(180, 3)",49.589666466499999
"(180, 4)",40.600584970999996
"(180, 6)",40.600584970999996
"(182, 0)",36.787944117100004
"(182, 1)",30.119421191199997
"(182, 2)",33.0597776444
"(182, 3)",36.787944117100004
"(182, 4)",30.119421191199997
"(191, 0)",33.059777644299999
"(191, 1)",27.067056647299999
"(191, 4)",27.067056647299999
"(194, 1)",110.363832351
"(194, 2)",73.979089182500005
"(194, 5)",110.363832351
"(194, 6)",164.64349082799998
"(196, 1)",153.70039691100001
"(196, 2)",103.02845713299999
"(196, 4)",187.730088717
"(196, 5)",134.79868923500001
"(196, 6)",164.64349082799998
"(197, 1)",20.189651799500002
"(197, 4)",24.659696394200001
"(197, 5)",20.189651799500002
"(197, 6)",30.119421191199997
"(199, 0)",134.79868923500001
"(199, 2)",60.5689553984
"(199, 3)",134.79868923500001
"(199, 5)",90.358263573700015
"(199, 6)",134.79868923500001
"(200, 0)",134.79868923500001
"(200, 2)",60.5689553984
"(200, 3)",134.79868923500001
"(200, 5)",73.979089182500005
"(200, 6)",110.363832351
"(203, 0)",60.5689553984
"(203, 3)",60.5689553984
"(203, 5)",33.240947508699996
"(203, 6)",49.589666466499999
"(205, 0)",224.66448205900002
"(205, 2)",100.94825899700001
"(205, 3)",224.66448205900002
"(205, 5)",150.59710595600001
"(205, 6)",224.66448205900002
"(206, 0)",100.94825899700001
"(206, 3)",100.94825899700001
"(206, 5)",67.667641618299996
"(206, 6)",100.94825899700001
"(213, 1)",60.5689553984
"(213, 5)",49.589666466499999
"(213, 6)",73.979089182500005
