,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1
"(25, 6)",1,18.0,1,3.0,8,4.0,0.818730753078,0.670320046036,3.0
"(27, 1)",1,0.0,3,3.0,7,5.0,0.818730753078,0.670320046036,0.0
"(27, 3)",1,15.0,2,3.0,6,5.0,0.818730753078,0.670320046036,3.0
"(27, 4)",1,15.0,1,3.0,5,5.0,0.818730753078,0.818730753078,3.0
"(27, 5)",1,0.0,3,3.0,7,5.0,0.818730753078,0.670320046036,0.0
"(27, 6)",1,15.0,1,3.0,5,5.0,0.818730753078,0.818730753078,3.0
"(28, 1)",1,0.0,3,3.0,10,5.0,0.818730753078,0.670320046036,0.0
"(28, 3)",1,15.0,2,3.0,9,5.0,0.670320046036,0.670320046036,3.0
"(28, 4)",1,15.0,1,3.0,8,5.0,0.818730753078,0.670320046036,3.0
"(28, 6)",1,15.0,1,3.0,8,5.0,0.818730753078,0.670320046036,3.0
"(30, 2)",1,10.0,3,1.0,9,5.0,0.818730753078,0.670320046036,0.0
"(30, 4)",1,10.0,1,1.0,7,5.0,0.670320046036,0.670320046036,0.0
"(30, 5)",1,5.0,3,1.0,9,5.0,0.670320046036,0.670320046036,0.0
"(30, 6)",1,5.0,1,1.0,7,5.0,0.670320046036,0.670320046036,0.0
"(31, 2)",1,10.0,3,1.0,10,5.0,0.670320046036,0.670320046036,0.0
"(31, 5)",1,5.0,3,1.0,10,5.0,0.818730753078,0.670320046036,0.0
"(31, 6)",1,5.0,1,1.0,8,5.0,0.670320046036,0.670320046036,0.0
"(39, 5)",1,5.0,3,1.0,13,5.0,0.670320046036,0.548811636094,0.0
"(39, 6)",1,5.0,1,1.0,11,5.0,0.670320046036,0.548811636094,0.0
"(42, 1)",1,20.0,3,2.0,9,5.0,0.670320046036,0.670320046036,0.0
"(42, 4)",1,20.0,1,2.0,7,5.0,0.818730753078,0.670320046036,0.0
"(42, 5)",1,10.0,3,2.0,9,5.0,0.818730753078,0.670320046036,0.0
"(42, 6)",1,10.0,1,2.0,7,5.0,0.670320046036,0.670320046036,0.0
"(43, 4)",1,20.0,1,2.0,10,5.0,0.818730753078,0.670320046036,0.0
"(43, 5)",1,10.0,3,2.0,12,5.0,0.670320046036,0.548811636094,0.0
"(43, 6)",1,10.0,1,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(45, 2)",1,20.0,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(45, 3)",1,20.0,2,2.0,7,5.0,0.818730753078,0.670320046036,0.0
"(45, 5)",1,10.0,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(45, 6)",1,10.0,1,2.0,6,5.0,0.818730753078,0.670320046036,0.0
"(47, 1)",1,10.0,3,1.0,9,5.0,0.818730753078,0.670320046036,0.0
"(47, 4)",1,10.0,1,1.0,7,5.0,0.818730753078,0.670320046036,0.0
"(47, 5)",1,5.0,3,1.0,9,5.0,0.818730753078,0.670320046036,0.0
"(47, 6)",1,5.0,1,1.0,7,5.0,0.670320046036,0.670320046036,0.0
"(49, 3)",1,20.0,2,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(49, 5)",1,10.0,3,2.0,11,5.0,0.670320046036,0.548811636094,0.0
"(49, 6)",1,10.0,1,2.0,9,5.0,0.818730753078,0.670320046036,0.0
"(50, 5)",1,10.0,3,2.0,13,5.0,0.818730753078,0.548811636094,0.0
