,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1
"(0, 0)",1,4.166666666666667,4.0,6.0,4.0,0.0,0.8187307530779818,0.44932896411722156,3.534920634920635,9.055555555555555,10.0,0.0
"(0, 1)",1,5.833333333333334,1.0,6.0,1.0,0.0,0.8187307530779818,0.8187307530779818,4.034126984126985,9.055555555555557,10.0,0.0
"(1, 1)",1,0.0,1.0,6.0,5.0,0.0,0.44932896411722156,0.36787944117144233,6.375,9.666666666666668,0.0,0.0
"(1, 2)",1,0.0,3.0,6.0,7.0,0.0,0.44932896411722156,0.24659696394160643,6.416666666666667,7.333333333333334,7.5,0.0
"(1, 3)",1,30.0,1.0,6.0,5.0,0.0,0.44932896411722156,0.36787944117144233,13.083333333333332,11.833333333333334,22.5,0.0
"(2, 2)",1,0.0,3.0,6.0,8.0,0.0,0.8187307530779818,0.20189651799465538,2.3333333333333335,7.5,7.5,0.0
"(2, 3)",1,30.0,1.0,6.0,6.0,0.0,0.36787944117144233,0.301194211912202,7.166666666666666,9.0,15.0,0.0
"(2, 7)",1,0.0,4.0,6.0,9.0,0.0,0.8187307530779818,0.16529888822158653,2.166666666666667,7.5,7.5,0.0
"(2, 8)",1,30.0,4.0,6.0,9.0,0.0,0.36787944117144233,0.16529888822158653,7.166666666666666,9.0,15.0,0.0
"(3, 2)",1,0.0,3.0,6.0,12.0,0.0,0.16529888822158653,0.09071795328941247,3.0,8.0,0.0,0.0
"(3, 3)",1,0.0,1.0,6.0,10.0,0.0,0.16529888822158653,0.1353352832366127,4.0,12.0,0.0,0.0
"(3, 7)",1,0.0,4.0,6.0,13.0,0.0,0.8187307530779818,0.07427357821433388,3.0,8.0,0.0,0.0
"(3, 9)",1,30.0,1.0,6.0,10.0,0.0,0.16529888822158653,0.1353352832366127,9.133333333333333,9.5,30.0,3.0000000000000004
"(3, 10)",1,30.0,1.0,6.0,10.0,0.0,0.16529888822158653,0.1353352832366127,9.133333333333333,9.5,30.0,0.0
