,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1
"(191, 0)",1,0.0,0.5,3.0,6.0,5.0,0.301194211912,0.301194211912,4.0,2.0,0.0,0.0
"(191, 1)",1,30.0,1.5,3.0,7.0,5.0,0.301194211912,0.246596963942,4.0,2.0,15.0,0.0
"(191, 2)",1,30.0,4.0,3.0,9.5,5.0,0.818730753078,0.135335283237,4.0,2.0,15.0,0.0
"(191, 3)",1,30.0,0.5,3.0,6.0,5.0,0.301194211912,0.301194211912,4.0,2.0,15.0,0.0
"(192, 0)",1,6.0,0.5,3.0,2.0,1.0,0.818730753078,0.670320046036,8.0,5.5,0.0,0.0
"(192, 2)",1,6.0,4.0,3.0,5.5,1.0,0.818730753078,0.301194211912,8.0,5.5,0.0,0.0
"(192, 4)",1,21.0,1.0,3.0,2.5,1.0,0.670320046036,0.548811636094,8.33333333333,7.0,27.0,3.0
"(192, 5)",1,0.0,3.0,3.0,4.5,1.0,0.818730753078,0.367879441171,3.5,5.5,0.0,0.0
"(192, 6)",1,21.0,1.0,3.0,2.5,1.0,0.818730753078,0.548811636094,6.83333333333,5.5,27.0,3.0
"(194, 0)",1,30.0,0.5,3.0,6.5,5.0,0.301194211912,0.246596963942,4.0,2.0,15.0,0.0
"(194, 1)",1,30.0,1.5,3.0,7.5,5.0,0.818730753078,0.201896517995,4.0,2.0,15.0,0.0
"(194, 3)",1,60.0,0.5,3.0,6.5,5.0,0.301194211912,0.246596963942,4.0,2.0,30.0,0.0
"(194, 5)",1,60.0,3.0,3.0,9.0,5.0,0.818730753078,0.165298888222,4.0,2.0,30.0,0.0
"(195, 0)",1,30.0,0.5,3.0,7.0,5.0,0.246596963942,0.246596963942,4.0,2.0,15.0,0.0
"(195, 1)",1,30.0,1.5,3.0,8.0,5.0,0.818730753078,0.201896517995,4.0,2.0,15.0,0.0
"(195, 5)",1,60.0,3.0,3.0,9.5,5.0,0.246596963942,0.135335283237,4.0,2.0,30.0,0.0
