Unnamed: 0,q_optimal,q_pred
"(0, 0)",431.769705311,0.0
"(0, 1)",370.84294583400003,0.0
"(0, 5)",299.44218006299997,0.0
"(0, 6)",441.33513055399999,0.0
"(1, 1)",365.99019302099998,0.0
"(1, 2)",215.15304766400001,0.0
"(1, 3)",431.769705311,0.0
"(1, 5)",269.59737847000002,0.0
"(1, 6)",388.98622350400001,0.0
"(2, 1)",73.979089182500005,0.0
"(2, 3)",99.946415566399992,0.0
"(2, 4)",79.438813979499997,0.0
"(2, 5)",60.5689553984,0.0
"(2, 6)",90.358263573700015,0.0
"(3, 1)",40.379303598900002,0.0
"(3, 4)",49.3193927883,0.0
"(3, 5)",40.379303598900002,0.0
"(3, 6)",60.238842382399994,0.0
"(6, 0)",164.64349082799998,0.0
"(6, 2)",87.450298269400008,0.0
"(6, 4)",153.70039691100001,0.0
"(6, 5)",90.358263573700015,0.0
"(6, 6)",164.64349082799998,0.0
"(7, 2)",73.979089182500005,0.0
"(7, 3)",161.78831826499999,0.0
"(7, 4)",153.70039691100001,0.0
"(7, 5)",90.358263573700015,0.0
"(7, 6)",164.64349082799998,0.0
"(8, 2)",20.189651799500002,0.0
"(8, 4)",44.9328964117,0.0
"(8, 5)",30.119421191199997,0.0
"(8, 6)",44.9328964117,0.0
"(10, 1)",90.358263573700015,0.0
"(10, 2)",60.5689553984,0.0
"(10, 3)",134.79868923500001,0.0
"(10, 4)",110.363832351,0.0
"(10, 6)",110.363832351,0.0
"(12, 1)",153.70039691100001,0.0
"(12, 2)",103.02845713299999,0.0
"(12, 4)",187.730088717,0.0
"(12, 5)",134.79868923500001,0.0
"(12, 6)",164.64349082799998,0.0
"(13, 1)",134.79868923500001,0.0
"(13, 2)",90.358263573700015,0.0
"(13, 4)",164.64349082799998,0.0
"(13, 5)",110.363832351,0.0
"(16, 4)",40.379303598900002,0.0
"(16, 5)",27.067056647299999,0.0
"(16, 6)",40.379303598900002,0.0
"(18, 0)",40.379303598900002,0.0
"(18, 3)",40.379303598900002,0.0
"(18, 5)",22.160631672499999,0.0
"(18, 6)",33.059777644299999,0.0
"(21, 1)",73.57588823430001,0.0
"(21, 2)",49.3193927883,0.0
"(21, 5)",73.57588823430001,0.0
"(21, 6)",109.762327219,0.0
"(27, 1)",73.979089182500005,0.0
"(27, 3)",109.696980059,0.0
"(27, 4)",89.812291094000003,0.0
"(27, 5)",60.5689553984,0.0
"(27, 6)",90.358263573700015,0.0
"(28, 3)",73.532084722999997,0.0
"(28, 4)",73.532084722999997,0.0
"(28, 5)",40.600584970999996,0.0
"(28, 6)",73.979089182500005,0.0
"(31, 2)",40.379303598900002,0.0
"(31, 4)",89.8657928234,0.0
"(31, 5)",60.238842382399994,0.0
"(31, 6)",89.8657928234,0.0
"(32, 0)",89.8657928234,0.0
"(32, 2)",40.379303598900002,0.0
"(32, 3)",89.8657928234,0.0
"(32, 5)",49.3193927883,0.0
"(32, 6)",89.8657928234,0.0
"(34, 1)",40.600584970999996,0.0
"(34, 3)",60.5689553984,0.0
"(34, 4)",49.589666466499999,0.0
"(34, 6)",49.589666466499999,0.0
"(35, 3)",40.600584970999996,0.0
"(35, 4)",40.600584970999996,0.0
"(35, 6)",40.600584970999996,0.0
"(38, 0)",44.9328964117,0.0
"(38, 2)",20.189651799500002,0.0
"(38, 3)",44.9328964117,0.0
"(38, 5)",24.659696394200001,0.0
"(38, 6)",36.787944117100004,0.0
"(39, 0)",20.189651799500002,0.0
"(39, 3)",20.189651799500002,0.0
"(39, 5)",11.080315836199999,0.0
"(39, 6)",20.189651799500002,0.0
"(45, 0)",134.79868923500001,0.0
"(45, 2)",60.5689553984,0.0
"(45, 3)",134.79868923500001,0.0
"(45, 5)",90.358263573700015,0.0
"(45, 6)",134.79868923500001,0.0
"(49, 3)",73.916490694999993,0.0
"(49, 4)",65.038999993100006,0.0
"(49, 5)",40.600584970999996,0.0
"(49, 6)",73.979089182500005,0.0
"(50, 4)",20.189651799500002,0.0
"(50, 5)",13.533528323699999,0.0
"(50, 6)",20.189651799500002,0.0
"(52, 1)",73.979089182500005,0.0
"(52, 3)",107.696423181,0.0
"(52, 4)",88.174373654899995,0.0
"(52, 5)",60.5689553984,0.0
"(52, 6)",90.358263573700015,0.0
"(55, 0)",60.5689553984,0.0
"(55, 3)",60.5689553984,0.0
"(55, 5)",40.600584970999996,0.0
"(55, 6)",60.5689553984,0.0
"(58, 1)",40.379303598900002,0.0
"(58, 3)",49.3193927883,0.0
"(58, 5)",33.059777644299999,0.0
"(58, 6)",49.3193927883,0.0
"(59, 1)",40.379303598900002,0.0
"(59, 5)",33.059777644299999,0.0
"(59, 6)",49.3193927883,0.0
