,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1
"(0, 0)",1,15.0,0.5,6.0,0.5,0.0,0.818730753078,0.818730753078,0.0
"(0, 1)",1,10.0,1.5,6.0,1.5,0.0,0.818730753078,0.670320046036,3.0
"(0, 5)",1,10.0,3.0,6.0,3.0,0.0,0.818730753078,0.548811636094,3.0
"(0, 6)",1,22.5,1.0,6.0,1.0,0.0,0.818730753078,0.818730753078,3.0
"(1, 1)",1,5.0,1.5,6.0,2.0,0.0,0.818730753078,0.670320046036,3.0
"(1, 2)",1,5.0,4.0,6.0,4.5,0.0,0.818730753078,0.367879441171,3.0
"(1, 3)",1,57.5,0.5,6.0,1.0,0.0,0.818730753078,0.818730753078,3.0
"(1, 5)",1,5.0,3.0,6.0,3.5,0.0,0.818730753078,0.449328964117,3.0
"(1, 6)",1,57.5,1.0,6.0,1.5,0.0,0.818730753078,0.670320046036,3.0
"(2, 1)",1,0.0,1.5,3.0,6.0,4.0,0.818730753078,0.301194211912,0.0
"(2, 3)",1,21.0,0.5,3.0,5.0,4.0,0.367879441171,0.367879441171,3.0
"(2, 4)",1,21.0,1.0,3.0,5.5,4.0,0.818730753078,0.301194211912,3.0
"(2, 5)",1,0.0,3.0,3.0,7.5,4.0,0.818730753078,0.201896517995,0.0
"(2, 6)",1,21.0,1.0,3.0,5.5,4.0,0.818730753078,0.301194211912,3.0
"(3, 1)",1,20.0,1.5,2.0,6.5,5.0,0.818730753078,0.246596963942,0.0
"(3, 4)",1,20.0,1.0,2.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(3, 5)",1,10.0,3.0,2.0,8.0,5.0,0.367879441171,0.201896517995,0.0
"(3, 6)",1,10.0,1.0,2.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(6, 0)",1,3.0,0.5,3.0,2.0,3.0,0.670320046036,0.670320046036,0.0
"(6, 2)",1,3.0,4.0,3.0,5.5,3.0,0.818730753078,0.301194211912,0.0
"(6, 4)",1,18.0,1.0,3.0,2.5,3.0,0.818730753078,0.548811636094,3.0
"(6, 5)",1,0.0,3.0,3.0,4.5,3.0,0.670320046036,0.367879441171,0.0
"(6, 6)",1,18.0,1.0,3.0,2.5,3.0,0.818730753078,0.548811636094,3.0
"(7, 2)",1,0.0,4.0,3.0,6.0,3.0,0.818730753078,0.301194211912,0.0
"(7, 3)",1,27.0,0.5,3.0,2.5,3.0,0.670320046036,0.548811636094,3.0
"(7, 4)",1,27.0,1.0,3.0,3.0,3.0,0.818730753078,0.548811636094,3.0
"(7, 5)",1,0.0,3.0,3.0,5.0,3.0,0.818730753078,0.367879441171,0.0
"(7, 6)",1,27.0,1.0,3.0,3.0,3.0,0.818730753078,0.548811636094,3.0
"(8, 2)",1,10.0,4.0,1.0,6.5,5.0,0.818730753078,0.246596963942,0.0
"(8, 4)",1,10.0,1.0,1.0,3.5,5.0,0.548811636094,0.449328964117,0.0
"(8, 5)",1,5.0,3.0,1.0,5.5,5.0,0.548811636094,0.301194211912,0.0
"(8, 6)",1,5.0,1.0,1.0,3.5,5.0,0.818730753078,0.449328964117,0.0
"(10, 1)",1,0.0,1.5,3.0,5.0,1.0,0.818730753078,0.367879441171,0.0
"(10, 2)",1,0.0,4.0,3.0,7.5,1.0,0.818730753078,0.201896517995,0.0
"(10, 3)",1,42.0,0.5,3.0,4.0,1.0,0.449328964117,0.449328964117,3.0
"(10, 4)",1,42.0,1.0,3.0,4.5,1.0,0.818730753078,0.367879441171,3.0
"(10, 6)",1,42.0,1.0,3.0,4.5,1.0,0.818730753078,0.367879441171,3.0
"(12, 1)",1,13.5,1.5,3.0,2.5,3.0,0.818730753078,0.548811636094,3.0
"(12, 2)",1,13.5,4.0,3.0,5.0,3.0,0.818730753078,0.367879441171,3.0
"(12, 4)",1,13.5,1.0,3.0,2.0,3.0,0.818730753078,0.670320046036,3.0
"(12, 5)",1,6.0,3.0,3.0,4.0,3.0,0.818730753078,0.449328964117,3.0
"(12, 6)",1,7.5,1.0,3.0,2.0,3.0,0.818730753078,0.670320046036,0.0
"(13, 1)",1,21.0,1.5,3.0,3.5,3.0,0.670320046036,0.449328964117,3.0
"(13, 2)",1,21.0,4.0,3.0,6.0,3.0,0.818730753078,0.301194211912,3.0
"(13, 4)",1,21.0,1.0,3.0,3.0,3.0,0.818730753078,0.548811636094,3.0
"(13, 5)",1,21.0,3.0,3.0,5.0,3.0,0.818730753078,0.367879441171,3.0
"(16, 4)",1,20.0,1.0,2.0,7.5,5.0,0.246596963942,0.201896517995,0.0
"(16, 5)",1,10.0,3.0,2.0,9.5,5.0,0.818730753078,0.135335283237,0.0
"(16, 6)",1,10.0,1.0,2.0,7.5,5.0,0.246596963942,0.201896517995,0.0
"(18, 0)",1,20.0,0.5,2.0,7.0,5.0,0.818730753078,0.246596963942,0.0
"(18, 3)",1,20.0,0.5,2.0,7.0,5.0,0.246596963942,0.246596963942,0.0
"(18, 5)",1,10.0,3.0,2.0,10.5,5.0,0.201896517995,0.110803158362,0.0
"(18, 6)",1,10.0,1.0,2.0,8.5,5.0,0.201896517995,0.165298888222,0.0
"(21, 1)",1,20.0,1.5,2.0,3.5,5.0,0.818730753078,0.449328964117,0.0
