Unnamed: 0,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1,Qval
"(3676, 3)",1,0.0,1.0,3.0,9.0,1.0,0.201896517995,0.165298888222,6.13333333333,6.0,0.0,0.0,40.600584970999996
"(3676, 7)",1,0.0,4.0,3.0,12.0,1.0,0.201896517995,0.0907179532894,6.13333333333,7.0,0.0,0.0,22.282073464299998
"(3676, 10)",1,54.0,1.0,3.0,9.0,1.0,0.818730753078,0.165298888222,10.2666666667,7.0,27.0,0.0,49.589666466499999
"(3676, 11)",1,54.0,1.0,3.0,9.0,1.0,0.818730753078,0.165298888222,10.2666666667,7.0,27.0,3.0,49.589666466499999
"(3676, 13)",1,54.0,0.5,3.0,8.5,1.0,0.818730753078,0.165298888222,10.2666666667,7.0,27.0,0.0,49.589666466499999
"(3691, 1)",1,0.0,1.0,3.0,10.0,5.0,0.165298888222,0.135335283237,6.13333333333,5.0,0.0,0.0,33.240947508699996
"(3691, 4)",1,0.0,1.0,3.0,10.0,5.0,0.165298888222,0.135335283237,10.2666666667,5.0,0.0,0.0,33.240947508699996
"(3691, 5)",1,0.0,1.0,3.0,10.0,5.0,0.165298888222,0.135335283237,10.2666666667,5.0,0.0,0.0,33.240947508699996
"(3691, 8)",1,0.0,4.0,3.0,13.0,5.0,0.818730753078,0.0742735782143,6.13333333333,5.0,0.0,0.0,18.243018787600001
"(3691, 10)",1,30.0,1.0,3.0,10.0,5.0,0.818730753078,0.135335283237,10.2666666667,5.0,15.0,0.0,40.600584970999996
"(3691, 11)",1,30.0,1.0,3.0,10.0,5.0,0.818730753078,0.135335283237,10.2666666667,5.0,15.0,3.0,29.773762312100001
"(3691, 13)",1,30.0,0.5,3.0,9.5,5.0,0.818730753078,0.135335283237,10.2666666667,5.0,15.0,0.0,40.600584970999996
"(3692, 1)",1,0.0,1.0,3.0,11.0,5.0,0.818730753078,0.110803158362,6.13333333333,5.0,0.0,0.0,27.215385986799998
"(3692, 5)",1,0.0,1.0,3.0,11.0,5.0,0.818730753078,0.110803158362,10.2666666667,5.0,0.0,0.0,27.215385986799998
"(3692, 8)",1,0.0,4.0,3.0,14.0,5.0,0.135335283237,0.0608100626252,6.13333333333,5.0,0.0,0.0,14.9361205104
