s,a,probability,reward,s_prime
0.0,0.0,1.0,0.0,1.0
0.0,1.0,0.1,335.160023018,248.0
0.0,1.0,0.2,268.128018414,593.0
0.0,1.0,0.2,134.064009207,586.0
0.0,1.0,0.1,67.0320046036,662.0
0.0,1.0,0.4,201.096013811,6.0
0.0,5.0,0.1,54.8811636094,817.0
0.0,5.0,0.1,274.405818047,703.0
0.0,5.0,0.4,164.643490828,444.0
0.0,5.0,0.2,219.524654438,326.0
0.0,5.0,0.2,109.762327219,479.0
0.0,6.0,0.4,245.619225923,146.0
0.0,6.0,0.1,81.8730753078,775.0
0.0,6.0,0.1,409.365376539,364.0
0.0,6.0,0.2,327.492301231,133.0
0.0,6.0,0.2,163.746150616,629.0
1.0,1.0,0.2,134.064009207,595.0
1.0,1.0,0.1,335.160023018,456.0
1.0,1.0,0.1,67.0320046036,530.0
1.0,1.0,0.2,268.128018414,463.0
1.0,1.0,0.4,201.096013811,7.0
1.0,2.0,0.4,110.363832351,161.0
1.0,2.0,0.2,147.151776469,2.0
1.0,2.0,0.1,36.7879441171,27.0
1.0,2.0,0.2,73.5758882343,52.0
1.0,2.0,0.1,183.939720586,847.0
1.0,3.0,0.2,327.492301231,743.0
1.0,3.0,0.1,409.365376539,571.0
1.0,3.0,0.4,245.619225923,12.0
1.0,3.0,0.1,81.8730753078,679.0
1.0,3.0,0.2,163.746150616,623.0
1.0,5.0,0.1,224.664482059,656.0
1.0,5.0,0.1,44.9328964117,10.0
1.0,5.0,0.2,89.8657928234,428.0
1.0,5.0,0.2,179.731585647,162.0
1.0,5.0,0.4,134.798689235,119.0
1.0,6.0,0.2,268.128018414,88.0
1.0,6.0,0.4,201.096013811,177.0
1.0,6.0,0.1,67.0320046036,776.0
1.0,6.0,0.1,335.160023018,401.0
1.0,6.0,0.2,134.064009207,631.0
2.0,1.0,1.0,0.0,49.0
2.0,3.0,0.2,36.7879441171,400.0
2.0,3.0,0.2,36.7879441171,321.0
2.0,3.0,0.1,36.7879441171,26.0
2.0,3.0,0.4,36.7879441171,3.0
2.0,3.0,0.1,36.7879441171,606.0
2.0,4.0,0.2,30.1194211912,201.0
2.0,4.0,0.4,30.1194211912,58.0
2.0,4.0,0.1,30.1194211912,275.0
2.0,4.0,0.2,30.1194211912,69.0
2.0,4.0,0.1,30.1194211912,823.0
2.0,5.0,1.0,0.0,34.0
2.0,6.0,0.1,30.1194211912,780.0
2.0,6.0,0.1,150.597105956,242.0
2.0,6.0,0.2,120.477684765,468.0
2.0,6.0,0.2,60.2388423824,5.0
2.0,6.0,0.4,90.3582635737,415.0
3.0,1.0,1.0,0.0,16.0
3.0,4.0,1.0,0.0,59.0
3.0,5.0,1.0,40.3793035989,4.0
3.0,6.0,1.0,60.2388423824,332.0
854.0,1.0,1.0,0.0,557.0
854.0,5.0,1.0,82.6494441108,626.0
854.0,6.0,1.0,123.298481971,622.0
